,cell_line,drug,min_dose,max_dose,time,alpha,beta,gamma,delta,mape,auc,auc_norm
0,LN229,Drug00,-2.363612413940753,0.9995654886602768,72,1.066764002337501,10.119093227100288,1.010099950767653,5.817182040841964e-06,0.0748667872706413,3.561257368598636,0.9926249059029948
1,LN229,Drug00,-2.363612413940753,0.9995654886602768,120,1.0707336669895375,2.896289604134807e-13,-3.036132325630545,0.9180733688516723,0.0473314146122599,3.344357662810004,1.0000005158155378
2,LN229,Drug01,-2.363612413940753,0.9995654886602768,72,1.2024317934312996,13.536420427455765,-0.3863160663049218,1.55231385688393,0.1158725026756395,4.5288871352052364,1.1199050576038017
3,LN229,Drug01,-2.363612413940753,0.9995654886602768,120,1.0000000480640117,10.611434836094958,-1.7501234816530988,0.8442757884142621,0.0046761390357453,2.934984787049276,0.8726819907309576
4,LN229,Drug02,-2.363612413940753,0.9995654886602768,72,0.9998158428216394,11.929728693033464,-1.0542915600460974,0.7369093233686576,0.1004629426008794,2.822586141118796,0.839416206373537
5,LN229,Drug02,-2.363612413940753,0.9995654886602768,120,1.0708286892363057,1.7034707174300825,0.619821135311731,0.3881513588957023,0.0307110791552054,3.3067560169895844,0.9181943261681178
6,LN229,Drug03,-2.363612413940753,0.9995654886602768,72,1.1009880676824422,14.473778617134156,0.3160994252813553,1.8760956490165923,0.0417409245882335,4.232578467569585,1.143069311374345
7,LN229,Drug03,-2.363612413940753,0.9995654886602768,120,0.972171870211864,13.0742086377493,0.0120004940213091,0.4868402337191435,0.022900888837035,2.7902904164358,0.8534076193380052
8,LN229,Drug04,-2.363612413940753,0.9995654886602768,72,1.259060899500423e-13,1.4040903818047163,-2.7802966839312613,1.2612205461353856,0.0762305325272896,4.151560033038317,1.2332002900454002
9,LN229,Drug04,-2.363612413940753,0.9995654886602768,120,1.01754578854168,11.339514648117117,0.3595744178672467,0.6249160176245627,0.0306401542684738,3.170907962561916,0.926573413191049
10,LN229,Drug05,-2.363612413940753,0.9995654886602768,72,1.1821331176406542,9.8866152533003,0.3901969120072494,1.9809552538183284,0.0530387163433208,4.462501120461858,1.122437358284644
11,LN229,Drug05,-2.363612413940753,0.9995654886602768,120,1.0150354972256024,6.884600699572535,-0.0471767180115205,0.9860085841093756,0.0210456248711956,3.383361259422802,0.991099600114874
12,LN229,Drug06,-2.363612413940753,0.9995654886602768,72,0.9142420808007492,13.98237706781694,0.9298737045694448,1.223431456230959,0.1047993083516378,3.097274774032796,1.0073228542417656
13,LN229,Drug06,-2.363612413940753,0.9995654886602768,120,1.0717501979510031,2.450597444379804,0.7214018916058996,4.022412158634944e-11,0.0483497036463709,3.270453034812788,0.9073284224211596
14,LN229,Drug07,-2.363612413940753,0.9995654886602768,72,0.9999999947729228,13.270673136889105,-1.6575769196892811,1.551759725452895,0.161883257632916,4.829282064623014,1.4359282287723618
15,LN229,Drug07,-2.363612413940753,0.9995654886602768,120,1.0685517892352887,10.44772639318063,0.3613614777148051,0.2740411456707908,0.0277487086225835,3.0866698787820788,0.8589042806030979
16,LN229,Drug08,-2.363612413940753,0.9995654886602768,72,1.0468395513323854,6.155898405516552,-0.625237715148709,0.9223596966797526,0.1053706493657588,3.318452379959881,0.9425526664115726
17,LN229,Drug08,-2.363612413940753,0.9995654886602768,120,0.988875973496844,10.8198858445302,0.3703748875618111,1.0461259053795309,0.0106341835021374,3.36178694188952,1.0108309247657783
18,LN229,Drug09,-2.363612413940753,0.9995654886602768,72,0.9999999956415244,13.259164181698493,-1.6524330721670124,1.4377000212199122,0.1032748722341059,4.523957725845323,1.345143752677439
19,LN229,Drug09,-2.363612413940753,0.9995654886602768,120,0.968396471445574,9.1405808554933,1.1071054080883638,8.347658186302735e-06,0.0318367877827176,3.2523374120799584,0.998602285559994
20,LN229,Drug10,-2.363612413940753,0.9995654886602768,72,1.0999236875589964,0.5348972986038658,0.6760198514481588,0.2975813225953354,0.0559593843032527,3.1202894919341446,0.8579632396975823
21,LN229,Drug10,-2.363612413940753,0.9995654886602768,120,1.036082237396414,12.065191951094484,0.3683607149734199,0.1857468185592053,0.0149144855162144,2.9477931097422854,0.8459660419262052
22,LN229,Drug11,-2.363612413940753,0.9995654886602768,72,0.9524043378990258,12.557478904880664,0.2836947799070528,0.1173956134736568,0.0719438612809285,2.6053469361642705,0.813381626366271
23,LN229,Drug11,-2.363612413940753,0.9995654886602768,120,0.990151967235447,1.730487334045565,-0.0413239824123145,0.0534121934819942,0.0064278219607147,2.351350961361404,0.7061632542620964
24,LN229,Drug12,-2.363612413940753,0.9995654886602768,72,1.043456517390101,6.353498295872677,-1.426043941005074,0.8502696726977603,0.1165605679412812,3.040734084023464,0.8664716031439771
25,LN229,Drug12,-2.363612413940753,0.9995654886602768,120,1.1183209529544151,0.5335849612282305,0.4179217899969149,0.0602522128567245,0.0909611960181632,2.83042451789537,0.7758592567429226
26,LN229,Drug13,-2.363612413940753,0.9995654886602768,72,0.9999999953526928,11.939720894026124,-1.6644723030655963,1.2357405091356055,0.0964162885418565,3.9911995246913423,1.1867345869293016
27,LN229,Drug13,-2.363612413940753,0.9995654886602768,120,1.0392939692937615,9.851865845295178,1.0994795818795513,0.3126102754421483,0.0413245565628015,3.492170599741066,0.9990959618601084
28,LN229,Drug14,-2.363612413940753,0.9995654886602768,72,2.67426223505094,10.930599929737372,-2.4261258411347635,0.6528627318784213,0.0855518268521585,2.210826529358624,0.657356702268822
